"","ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Comment.on.genus","primary_lifestyle","secondary_lifestyle","Comment_on_lifestyle_template","Endophytic_interaction_capability_template","Plant_pathogenic_capacity_template","Decay_substrate_template","Decay_type_template","Aquatic_habitat_template","Animal_biotrophic_capacity_template","Specific_hosts","Growth_form_template","Fruitbody_type_template","Hymenium_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template","primary_photobiont","secondary_photobiont","Guild"
"ASV1","ASV1","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV2","ASV2","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","podzolica","","soil_saprotroph","","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV3","ASV3","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","terrea","","soil_saprotroph","epiphyte","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV4","ASV4","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV5","ASV5","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV6","ASV6","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV7","ASV7","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV8","ASV8","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","",NA,"Pathotroph"
"ASV9","ASV9","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","terricola","","soil_saprotroph","epiphyte","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV10","ASV10","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","podzolica","","soil_saprotroph","","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
